timestamp,BTC,ETH,DASH,LTC,ETC,XRP
06/07-99:99,3258468.9263,296803.02521069,166693.40102841,34192.7034522,19561.99183885,318.88617702
06/08-99:99,3022560.4268,285874.56587538,157737.96413698,31386.15202922,19628.18373772,314.24767131
06/09-99:99,3173617.8798,292753.38326878,163904.34514114,33756.95443229,19654.72478734,327.63225161
06/10-99:99,3187110.2769,316051.36536333,168521.3897339,33373.94187604,19646.86500015,321.7247285
06/11-99:99,3305097.5229,372951.91386682,174375.14342685,33843.98629158,21330.73485962,296.74823058
06/12-99:99,3391730.2239,384962.01206144,210289.07843933,37241.54790305,24352.67020706,307.37182897
06/13-99:99,3066858.9965,447591.18190622,198204.5701099,33027.98123804,22932.52903432,289.51638088
06/14-99:99,3087914.2014,440069.02619026,207713.34146354,34517.18657656,23295.18400825,298.43543672
06/15-99:99,2787384.74485517,377273.80219643,179379.19794171,33423.18557878,20751.1911,312.35750001
06/16-99:99,2766153.88092893,388938.05660469,182069.94560357,34257.27762619,20727.564,293.2254864
06/17-99:99,2850232.53927891,403767.27018593,186036.95792446,42148.13271503,20789.6325,296.58025215
06/18-99:99,3037745.23040992,423992.40987012,205825.58451163,51806.44620782,25504.9555,304.3236334
06/19-99:99,2917824.7408979,410336.28865465,218906.45817008,52146.04866833,24940.3833,322.48832616
06/20-99:99,2985540.33898093,412494.10962953,226722.96502164,56497.21802456,26156.1573,335.1534732
06/21-99:99,3147487.23923146,406636.84524576,219599.29748596,54595.86928801,24882.2189,374.203907
06/22-99:99,3109070.54374809,382629.42591497,208222.94401727,54347.38989689,23727.625,342.5926
06/23-99:99,3111194.8345501,374140.6330447,209554.82885252,54820.98317899,23701.4316,339.29414464
06/24-99:99,3112390.59257896,377549.87569278,214491.64848449,54259.92495671,24264.2689,362.24805714
06/25-99:99,2971325.68402608,348768.75969851,204926.02878773,50208.46971699,22662.9545,352.7431558
06/26-99:99,2945854.36739165,321120.6038373,195166.04723304,50378.01482317,24501.096,340.37580463
06/27-99:99,2797295.5148004,282120.21615074,184376.086175,45947.72741123,22307.6736,314.31149376
06/28-99:99,2904807.9687585,322016.16952603,200418.35049939,46254.05333422,21792.145,315.27985445
06/29-99:99,2924990.58108691,361372.21505225,208127.70004467,48330.02258231,22307.5248,319.44284416
06/30-99:99,2852410.89443516,326028.22858197,203891.50463218,47093.00350988,21655.732,300.9654312
07/01-99:99,2861978.33086348,325139.90388199,204049.97186782,47266.36155952,21483.952,301.0948388
07/02-99:99,2781339.88004977,297530.88688755,188127.51890054,44838.78233807,20231.296,291.0648832
07/03-99:99,2873374.08975486,321290.88542429,198491.69917288,47585.94819656,20521.4571,296.29959114
07/04-99:99,2954078.90894372,320558.0865366,205911.93087923,53874.22168349,20584.0551,299.00842566
07/05-99:99,2997028.29580191,309217.83391301,209738.98624343,63706.9818129,20739.0075,293.12165825
07/06-99:99,3014561.11337428,306314.67499257,241093.0722913,61011.55819162,20504.0922,295.53931566
07/07-99:99,3023367.78096876,308705.65054441,242791.70519043,59204.10360775,20787.2632,295.13978516
07/08-99:99,2904732.09805671,279483.54039394,223282.16763811,53290.29711216,19289.2788,276.31199682
07/09-99:99,2965800.88786877,284813.31744619,243224.95273803,61203.75085462,19831.35,275.65923
07/10-99:99,2914572.86170423,275760.46774773,228168.1612174,57134.01688404,18817.3935,269.64319905
07/11-99:99,2748764.1874805,246653.47614529,202887.16678529,53586.85520616,17748.8976,231.91854546
07/12-99:99,2674978.04793594,220556.57107666,188986.49389791,51241.21692298,17021.4292,211.54154056
07/13-99:99,2732059.05366435,252787.55717475,206063.32312833,55480.86066494,22978.4409,235.81183956
07/14-99:99,2689983.26398755,235815.2014941,195119.06536586,52578.39855007,21068.7224,228.76628104
07/15-99:99,2522740.89683391,223297.16850726,183568.19855924,47806.324719,19826.4692,215.18154781
07/16-99:99,2290672.37440956,191817.39905161,158617.2665583,44108.43932942,16744.1081,192.35062334
07/17-99:99,2179880.68213341,175961.65403358,150007.93349383,46447.89453745,16203.106,167.60172395
07/18-99:99,2490791.48127305,213087.89844517,170064.66018251,47837.26951765,17334.2208,200.40887152
07/19-99:99,2602769.7346603,254637.51050413,176982.20851266,49377.91481742,18443.3392,211.49300016
07/20-99:99,2570777.95176861,227021.16947828,176435.34111565,46276.42434442,16946.5164,191.99379768
07/21-99:99,3091555.54848836,251231.41588286,208358.11288482,50330.75269865,17934.2241,210.49664643
07/22-99:99,2977797.57183898,242798.58173463,207809.80130541,51022.25528682,17966.9644,203.84673414
07/23-99:99,3087159.1812196,254187.78080263,212937.20381673,51826.54704751,18148.558,221.2602372
